Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
HAWK,MCDONNELL DOUGLAS,Goshawk,LandPlane,Jet,1,L/M,Fixed-wing,1J,S+,Medium,H,III,
HAR,MCDONNELL DOUGLAS,Harrier,LandPlane,Jet,1,M,Fixed-wing,1J,L,Medium,G,III,
H64,MCDONNELL DOUGLAS,JAH-64 Apache,Helicopter,Turboprop/Turboshaft,2,M,Helicopter,2T,S+,Medium,H,I,
DC85,MCDONNELL DOUGLAS,Jet Trader,LandPlane,Jet,4,H,Fixed-wing,4J,H,Heavy,D,III,9
DC10,MCDONNELL DOUGLAS,KC-10 Extender,LandPlane,Jet,3,H,Fixed-wing,3J,H,Heavy,C,III,9
DC10,MCDONNELL DOUGLAS,KDC-10,LandPlane,Jet,3,H,Fixed-wing,3J,H,Heavy,C,III,9
F4,MCDONNELL DOUGLAS,Kurnass,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
H500,MCDONNELL DOUGLAS,Lifter,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
H64,MCDONNELL DOUGLAS,Longbow Apache,Helicopter,Turboprop/Turboshaft,2,M,Helicopter,2T,S+,Medium,H,I,
HAR,MCDONNELL DOUGLAS,Matador,LandPlane,Jet,1,M,Fixed-wing,1J,L,Medium,G,III,
DC10,MCDONNELL DOUGLAS,MD-10,LandPlane,Jet,3,H,Fixed-wing,3J,H,Heavy,C,III,9
MD11,MCDONNELL DOUGLAS,MD-11,LandPlane,Jet,3,H,Fixed-wing,3J,H,Heavy,C,III,9
MD81,MCDONNELL DOUGLAS,MD-81,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,7
MD82,MCDONNELL DOUGLAS,MD-82,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,7
MD83,MCDONNELL DOUGLAS,MD-83,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
F18H,MCDONNELL DOUGLAS,FA-18C Hornet,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F18H,MCDONNELL DOUGLAS,FA-18D Hornet,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
MD87,MCDONNELL DOUGLAS,MD-87,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,7
MD88,MCDONNELL DOUGLAS,MD-88,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
MD90,MCDONNELL DOUGLAS,MD-90,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
H500,MCDONNELL DOUGLAS,MD-500,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,MD-500 Defender,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,MD-500 Nightfox,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
MD52,MCDONNELL DOUGLAS,MD-520N,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,MD-530F Lifter,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,MD-530MG Defender,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,MD-530MG Nightfox,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
MD52,MCDONNELL DOUGLAS,MD-530N,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
MD60,MCDONNELL DOUGLAS,MD-600N,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
EXPL,MCDONNELL DOUGLAS,MD-900 Combat Explorer,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
EXPL,MCDONNELL DOUGLAS,MD-900 Explorer,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
EXPL,MCDONNELL DOUGLAS,MD-902 Explorer,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,MH-6H,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
MD52,MCDONNELL DOUGLAS,MH-6J,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
EXPL,MCDONNELL DOUGLAS,MH-90 Enforcer,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
H500,MCDONNELL DOUGLAS,Nightfox,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
