Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
J328,328 SUPPORT SERVICES,Dornier 328JET,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,6
UL45,3XTRIM,450 Ultra,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
UL45,3XTRIM,Ultra,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,550 Trener,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,Trener,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
UL45,3XTRIM,3X-47 Ultra,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,3X-55 Trener,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,3X-LS Navigator 600,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TR55,3XTRIM,Navigator 600,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CE22,A-41,VNS-41,Amphibian,Piston,2,L,@Fixed-wing,2P,S,Light,I,II,
ELSP,A2 CZ,Ellipse Spirit,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
PETR,AAC,SeaStar,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
BMAN,AAK,Bushman,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
HRNT,AAK,Hornet,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
WSP,AAK,Wasp,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
FMGO,AAK,Flamingo,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A9,AAMSA,A-9 Quail,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A9,AAMSA,Quail,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
JCRU,AASI,Jetcruzer,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
GAZL,ABHCO,Gazelle,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
GAZL,ABHCO,SA-342 Gazelle,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
RF9,ABS,RF-9,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
XNON,ABS AEROLIGHT,Xenon,Gyrocopter,Piston,1,L,Gyrocopter,1P,S,Light,I,I,
MIDR,ACBA,ACBA-8 Midour 2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MIDR,ACBA,Midour 2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
JACE,ACE,Junior Ace,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SACE,ACE,Super Ace,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ARKS,ACEAIR,A-200 Aeriks 200,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ARKS,ACEAIR,A-200 Aeris 200,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ARKS,ACEAIR,Aeriks 200,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ARKS,ACEAIR,Aeris 200,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CUB2,ACES HIGH,Cuby 2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ACRO,ACRO SPORT,Acro-Sport 1,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ACR2,ACRO SPORT,Acro-Sport 2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
COUG,ACRO SPORT,Cougar,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
JACE,ACRO SPORT,Junior Ace,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SACE,ACRO SPORT,Super Ace,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ACRO,ACRO SPORT,Super Acro-Sport,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SORA,ACS (1),ACS-100 Sora,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SORA,ACS (1),Sora,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
J600,ACS (2),Skyleader 600,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
J600,ACS (2),JA-600 Skyleader 600,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
T211,AD AEROSPACE,T-211,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LCA,ADA,LCA Tejas,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
LCA,ADA,Tejas,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
RA14,ADAM (1),Loisirs,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
RA14,ADAM (1),RA-14 Loisirs,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
RA17,ADAM (1),RA-17,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A500,ADAM (2),A-500,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
A500,ADAM (2),A-500 CarbonAero,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
A700,ADAM (2),A-700 AdamJet,LandPlane,Jet,2,L,Fixed-wing,2J,S,Light,I,III,
A700,ADAM (2),AdamJet,LandPlane,Jet,2,L,Fixed-wing,2J,S,Light,I,III,
A500,ADAM (2),CarbonAero,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
T211,ADAMS,T-211,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
BUCA,ADVANCED AEROMARINE,Mallard,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
C21T,ADVANCED AIRCRAFT,Regent 1500,LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S,Light,I,II,5
C10T,ADVANCED AIRCRAFT,Spirit 750,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,2
C10T,ADVANCED AIRCRAFT,Turbine P210,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,2
BUCA,ADVANCED AVIATION,Buccaneer,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
ADVN,ADVENTURE AIR,Adventurer,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
EX5T,AEA,Explorer 500T,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
MAVR,AEA,Maverick,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AM3,AERFER-AERMACCHI,AM-3,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AMX,AERITALIA,AMX Ghibli,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
G222,AERITALIA,G-222,LandPlane,Turboprop/Turboshaft,2,M,Fixed-wing,2T,L,Medium,F,III,
AMX,AERITALIA,Ghibli,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
TOR,AERITALIA,Tornado,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
AM3,AERITALIA-AERMACCHI,AM-3,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LA60,AERMACCHI,AL-60,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LA60,AERMACCHI,AL-60 Conestoga,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LA60,AERMACCHI,AL-60 Trojan,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AMX,AERMACCHI,AMX Ghibli,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
LA60,AERMACCHI,Conestoga,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AMX,AERMACCHI,Ghibli,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
F260,AERMACCHI,F-260F,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
L90,AERMACCHI,M-290TP Redigo,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
M326,AERMACCHI,MB-326,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
M339,AERMACCHI,MB-339,LandPlane,Jet,1,L,Fixed-wing,1J,S+,Light,I,III,
L90,AERMACCHI,Redigo,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
F260,AERMACCHI,T-260,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LA60,AERMACCHI,Trojan,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
F260,AERMACCHI,F-260E,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
F260,AERMACCHI,SF-260E,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
F260,AERMACCHI,SF-260F,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
F26T,AERMACCHI,SF-260T,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,3
M346,AERMACCHI,M-346 Master,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,
M346,AERMACCHI,T-346 Master,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,
M346,AERMACCHI,Master,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,
LA60,AERMACCHI,AL-60 Loadmaster,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LA6T,AERMACCHI,AL-60 Turbine Grizzly,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
LA60,AERMACCHI,Loadmaster,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LA6T,AERMACCHI,Turbine Grizzly,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
AC72,AERO (1),Alti Cruiser,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC50,AERO (1),Commander 500,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,3
AC52,AERO (1),Commander 520,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,1
AC56,AERO (1),Commander 560,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC68,AERO (1),Commander 680 Super,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC68,AERO (1),Commander 680E,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC68,AERO (1),Commander 680F,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC72,AERO (1),Commander 720 Alti Cruiser,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC56,AERO (1),L-26B Commander 560,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC68,AERO (1),L-26C Commander 680 Super,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC56,AERO (1),U-4A Commander 560,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC68,AERO (1),U-4B Commander 680 Super,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC68,AERO (1),U-9 Commander 680 Super,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AE45,AERO (2),45,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
L39,AERO (2),Albatros,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
L159,AERO (2),Albatros 2,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
L60,AERO (2),Brigadyr,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
BU31,AERO (2),C-104,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MG15,AERO (2),CS-102,LandPlane,Jet,1,L,Fixed-wing,1J,S+,Light,I,III,
L29,AERO (2),Delfin,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
L29,AERO (2),L-29 Delfin,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
L39,AERO (2),L-39 Albatros,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
L59,AERO (2),L-59,LandPlane,Jet,1,L,Fixed-wing,1J,S+,Light,I,III,
L60,AERO (2),L-60 Brigadyr,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
L39,AERO (2),L-139 Albatros,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
L159,AERO (2),L-159,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
L159,AERO (2),L-159  Albatros 2,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
MG15,AERO (2),S-102,LandPlane,Jet,1,L,Fixed-wing,1J,S+,Light,I,III,
MG15,AERO (2),S-103,LandPlane,Jet,1,L,Fixed-wing,1J,S+,Light,I,III,
BU31,AERO (2),Z-131,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A270,AERO (2),Ae-270 Propjet,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
A270,AERO (2),Propjet,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
AAT4,AERO (3),AT-4,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AAT3,AERO (3),AT-3,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
P220,AERO (3),P-220-AT2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AVTR,AERO ADVENTURE,Aventura 2,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
ZEP2,AERO ADVENTURE,Toucan,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AB95,AERO BOERO,AB-95,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AB11,AERO BOERO,AB-115,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AB15,AERO BOERO,AB-150,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AB18,AERO BOERO,AB-180,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
VO10,AERO COMMANDER,100 Commander 100,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,1
M200,AERO COMMANDER,200 Commander 200,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,1
AC50,AERO COMMANDER,500 Commander 500,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,3
AC56,AERO COMMANDER,560 Commander 560,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC68,AERO COMMANDER,680F Commander 680F,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC6L,AERO COMMANDER,680FL Grand Commander,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,6
AC68,AERO COMMANDER,680FP Commander 680FP,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC80,AERO COMMANDER,680T Turbo Commander,LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S,Light,I,II,4
AC80,AERO COMMANDER,680V Turbo Commander,LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S,Light,I,II,4
JCOM,AERO COMMANDER,1121 Jet Commander,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
A9,AERO COMMANDER,A-9 Ag Commander,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A9,AERO COMMANDER,Ag Commander (A-9),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CLB1,AERO COMMANDER,Ag Commander (B-1),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SS2P,AERO COMMANDER,Ag Commander (S-2),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CLB1,AERO COMMANDER,B-1 Ag Commander,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
VO10,AERO COMMANDER,Commander 100,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,1
M200,AERO COMMANDER,Commander 200,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,1
AC50,AERO COMMANDER,Commander 500,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,3
AC56,AERO COMMANDER,Commander 560,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,4
AC68,AERO COMMANDER,Commander 680F,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC68,AERO COMMANDER,Commander 680FP,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,5
AC6L,AERO COMMANDER,Grand Commander,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,6
JCOM,AERO COMMANDER,Jet Commander,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
SS2P,AERO COMMANDER,S-2 Ag Commander,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AC80,AERO COMMANDER,Turbo Commander (680),LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S,Light,I,II,4
PULS,AERO DESIGNS,Pulsar,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
R22,AERO ELI,Yo-Yo,Helicopter,Piston,1,L,Helicopter,1P,S,Light,I,I,
AGSH,AERO GARE,Sea Hawker,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
PETL,AERO ITBA,Petrel,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
RF5,AERO JAEN,RF-5 Serrania,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
RF5,AERO JAEN,Serrania,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SCUB,AERO KUHLMANN,Scub,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
GAVI,AERO MERCANTIL,358 Gavilan,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
GAVI,AERO MERCANTIL,Gavilan,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TC2,AERO MIRAGE,TC-2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
G164,AERO MOD,G-164 Super Ag Max,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,1
G164,AERO MOD,Super Ag Max,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,1
GUEP,AERO SERVICES,Guepard,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
GUEP,AERO SERVICES,Guepy,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
GUEP,AERO SERVICES,Super Guepard,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
GEPE,AERO SERVICES,Guêpe,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SGUP,AERO SPACELINES,377SGT Super Guppy,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,10
SGUP,AERO SPACELINES,Super Guppy,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,10
OKHO,AERO-ASTRA,Okhotnik,Gyrocopter,Piston,1,L,Gyrocopter,1P,S,Light,I,I,
AGSH,AERO-COMPOSITES,Sea Hawker,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
D11,AERO-DIFUSION,Compostela,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
D11,AERO-DIFUSION,D-112 Popuplane,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
D11,AERO-DIFUSION,D-119 Popuplane,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
D11,AERO-DIFUSION,D-1190S Compostela,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
D11,AERO-DIFUSION,Popuplane,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX58,AERO-EAST-EUROPE,Embera,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX1T,AERO-EAST-EUROPE,MXP-155 Tayrona,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX1T,AERO-EAST-EUROPE,Tayrona,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX58,AERO-EAST-EUROPE,MXP-158 Embera,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
S450,AERO-EAST-EUROPE,SILA-450,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
D11,AERO-JODEL,D-11,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MP02,AERO-KROS,MP-02 Czajka,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MP02,AERO-KROS,Czajka,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
QUAS,AEROALCOOL,Quasar Lite,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX80,AEROANDINA,Fantasy,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX80,AEROANDINA,MXP-800 Fantasy,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX1T,AEROANDINA,MXP-1000 Tayrona,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX1T,AEROANDINA,Tayrona,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX58,AEROANDINA,MXP-158 Embera,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX58,AEROANDINA,Embera,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX1T,AEROANDINA,MXP-150 Kimbaya,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX1T,AEROANDINA,Kimbaya,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX10,AEROANDINA,MXP-100 Aventura,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MX10,AEROANDINA,Aventura,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CH70,AEROBRAVO,Bravo,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
COZY,AEROCAD,AeroCanard,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CAR,AEROCAR,Aerocar,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
COOT,AEROCAR,Coot,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
MIMP,AEROCAR,Mini-Imp,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
COOT,AEROCAR,Super Coot,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
CA3,AEROCOMP,CA-3 Comp Air 3,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA4,AEROCOMP,CA-4 Comp Air 4,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA4,AEROCOMP,CA-4 Comp Monster,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA6,AEROCOMP,CA-6 Comp Air 6,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA7P,AEROCOMP,CA-7P Comp Air 7P,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA7P,AEROCOMP,CA-7SL Comp Air 7SL,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA7T,AEROCOMP,CA-7SLX Comp Air 7SLX,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA7T,AEROCOMP,CA-7T Comp Air 7T,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA8,AEROCOMP,CA-8 Comp Air 8,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA1P,AEROCOMP,CA-10 Comp Air 10,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA1T,AEROCOMP,CA-10T  Comp Air 10T,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA1T,AEROCOMP,CA-10XLT Comp Air 10XLT,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA3,AEROCOMP,Comp Air 3,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA4,AEROCOMP,Comp Air 4,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA6,AEROCOMP,Comp Air 6,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA7P,AEROCOMP,Comp Air 7P,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA7P,AEROCOMP,Comp Air 7SL,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA7T,AEROCOMP,Comp Air 7SLX,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA7T,AEROCOMP,Comp Air 7T,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA8,AEROCOMP,Comp Air 8,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA1P,AEROCOMP,Comp Air 10,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA1T,AEROCOMP,Comp Air 10T,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
CA4,AEROCOMP,Comp Monster,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
EZFL,AEROCOMP,E-Z Flyer,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
MAME,AEROCOMP,Merlin,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CA1T,AEROCOMP,Comp Air 10XLT,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
G800,AERODIS,G-802 Orion,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
G800,AERODIS,Orion,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
J177,AERODYNOS,Evolution,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
J177,AERODYNOS,JA-177 Evolution,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
J177,AERODYNOS,JA-177 Pingouin,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
J177,AERODYNOS,Pingouin,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ISAT,AEROJAMES,01 Isatis,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ISAT,AEROJAMES,Isatis,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ZA6,AEROKOPTER,AK-1,Helicopter,Piston,1,L,Helicopter,1P,S,Light,I,I,
ZA6,AEROKOPTER,ZA-6 Sanka,Helicopter,Piston,1,L,Helicopter,1P,S,Light,I,I,
ZA6,AEROKOPTER,Sanka,Helicopter,Piston,1,L,Helicopter,1P,S,Light,I,I,
LOCA,AEROLAB,LoCamp,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
SKIF,AEROLITES,AeroSkiff,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
